datetime,outlet,visitor
2018-02-28 19:00:00,E,1631
2018-02-28 20:00:00,A,447
2018-02-28 20:00:00,B,27
2018-02-28 20:00:00,C,77
2018-02-28 20:00:00,D,71
2018-02-28 20:00:00,E,1711
2018-02-28 21:00:00,A,280
2018-02-28 21:00:00,B,9
2018-02-28 21:00:00,C,39
2018-02-28 21:00:00,D,46
2018-02-28 21:00:00,E,1381
2018-02-28 22:00:00,A,104
2018-02-28 22:00:00,B,0
2018-02-28 22:00:00,C,9
2018-02-28 22:00:00,D,34
2018-02-28 22:00:00,E,1042
2018-02-28 23:00:00,A,46
2018-02-28 23:00:00,B,0
2018-02-28 23:00:00,C,0
2018-02-28 23:00:00,D,4
2018-02-28 23:00:00,E,564
